date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-26,23.85,23.85,22.06,21.88,380629.47,-2.09,-8.65,23.63,22.217,21.294,335750.65,257814.62,240119.76
2018-07-25,23.96,24.45,24.15,23.52,308917.38,0.07,0.29,23.466,22.069,21.164,307060.77,244601.91,228621.54
2018-07-24,24.19,24.38,24.08,23.58,308989.5,-0.42,-1.71,22.716,21.641,20.959,269338.36,239348.46,222476.98
2018-07-23,24.0,24.63,24.5,23.64,394998.97,1.14,4.88,22.13,21.352,20.767,242604.41,228566.07,220282.24
2018-07-20,21.27,23.36,23.36,20.58,285217.94,2.12,9.98,21.416,21.006,20.479,203027.9,211702.43,208217.12
2018-07-19,20.31,21.53,21.24,20.08,237180.05,0.84,4.12,20.804,20.744,20.248,179878.59,214353.52,200045.24
2018-07-18,21.01,21.11,20.4,20.4,120305.32,-0.75,-3.55,20.672,20.59,20.068,182143.04,210405.44,192780.61
2018-07-17,20.99,21.16,21.15,19.98,175319.77,0.22,1.05,20.566,20.501,19.947,209358.56,216870.16,191965.9
2018-07-16,20.21,21.59,20.93,20.15,197116.41,0.63,3.1,20.574,20.457,19.744,214527.74,219714.13,188143.4
2018-07-13,20.57,21.0,20.3,19.92,169471.41,-0.28,-1.36,20.596,20.361,19.602,220376.96,215256.89,183077.62
2018-07-12,19.8,21.34,20.58,19.67,248502.31,0.71,3.57,20.684,20.37,19.516,248828.44,222424.89,180589.74
2018-07-11,20.43,20.67,19.87,19.42,256382.91,-1.32,-6.23,20.508,20.258,19.405,238667.83,212641.17,171870.55
2018-07-10,20.88,21.67,21.19,20.46,201165.64,0.15,0.71,20.436,20.277,19.334,224381.75,205605.51,162626.66
2018-07-09,20.69,21.12,21.04,20.42,226362.55,0.3,1.45,20.34,20.181,19.19,224900.53,211998.41,158078.63
2018-07-06,19.47,21.67,20.74,19.34,311728.81,1.04,5.28,20.126,19.951,19.084,210136.81,204731.81,150349.86
2018-07-05,19.7,20.85,19.7,19.3,197699.22,0.19,0.97,20.056,19.751,18.983,196021.34,185736.96,137993.03
2018-07-04,20.6,20.61,19.51,19.23,184952.52,-1.2,-5.79,20.008,19.545,18.95,186614.52,175155.78,133121.67
2018-07-03,20.04,20.96,20.71,19.6,203759.55,0.74,3.71,20.118,19.393,18.923,186829.27,167061.65,132099.17
2018-07-02,20.38,20.45,19.97,19.68,152543.95,-0.42,-2.06,20.022,19.031,18.768,199096.28,156572.68,126548.2
